Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf1,Ethernet3,10.10.1.1/31,spine,spine1,Ethernet3,10.10.1.0/31
l3leaf,leaf1,Ethernet4,10.10.1.3/31,spine,spine2,Ethernet3,10.10.1.2/31
l3leaf,leaf1,Ethernet5,10.10.1.5/31,spine,spine3,Ethernet3,10.10.1.4/31
l3leaf,leaf2,Ethernet3,10.10.1.7/31,spine,spine1,Ethernet4,10.10.1.6/31
l3leaf,leaf2,Ethernet4,10.10.1.9/31,spine,spine2,Ethernet4,10.10.1.8/31
l3leaf,leaf2,Ethernet5,10.10.1.11/31,spine,spine3,Ethernet4,10.10.1.10/31
l3leaf,leaf3,Ethernet3,10.10.1.13/31,spine,spine1,Ethernet5,10.10.1.12/31
l3leaf,leaf3,Ethernet4,10.10.1.15/31,spine,spine2,Ethernet5,10.10.1.14/31
l3leaf,leaf3,Ethernet5,10.10.1.17/31,spine,spine3,Ethernet5,10.10.1.16/31
l3leaf,leaf4,Ethernet3,10.10.1.19/31,spine,spine1,Ethernet6,10.10.1.18/31
l3leaf,leaf4,Ethernet4,10.10.1.21/31,spine,spine2,Ethernet6,10.10.1.20/31
l3leaf,leaf4,Ethernet5,10.10.1.23/31,spine,spine3,Ethernet6,10.10.1.22/31
